Сведения об автобусах, находящихся в парке: 
1. Номер автобуса: 1; инициалы водителя: Иванов И.И.; номер маршрута: 48.
2. Номер автобуса: 3; инициалы водителя: Алмазов А.А.; номер маршрута: 8.
3. Номер автобуса: 4; инициалы водителя: Тигранов М.Л.; номер маршрута: 1.
4. Номер автобуса: 6; инициалы водителя: Каиров С-М.А.; номер маршрута: 9.
5. Номер автобуса: 7; инициалы водителя: Муртазов А.К.; номер маршрута: 12.
6. Номер автобуса: 9; инициалы водителя: Алексеев С.К.; номер маршрута: 7.
7. Номер автобуса: 10; инициалы водителя: Медведев К.К.; номер маршрута: 1.
8. Номер автобуса: 5; инициалы водителя: Магомедов С.М.; номер маршрута: 48.

Сведения об автобусах, находящихся на маршруте: 
1. Номер автобуса: 2; инициалы водителя: Салтыков С.М.; номер маршрута: 8.
2. Номер автобуса: 8; инициалы водителя: Петров П.М.; номер маршрута: 8.
